"Datum","Transaktionsstatus","Transaktionstyp","Transaktionsnummer","Produktdetails","Artikelpreise gesamt","Gesamtsumme der Aktionsrabatte","Amazon-Gebühren","Andere","Summe (EUR)"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","302-5606896-2463505","Tajima DRIVER Cutter mit Razar black Kli...","18.78","0","-8.32","3.56","14.02"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","303-0723301-1049924","SONAX Aktionsset KratzerEntferner Lack (...","10.46","0","-4.96","1.99","7.49"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","304-4103031-5826731","Silky 350-36 Professionelle BIGBOY Klapp...","62.14","0","-15.75","11.81","58.2"
"12.1.2023","Veröffentlicht","Commingling VAT","1410124333","Halder Aktionspaket"Dreamteam Innenausbau" 2021 mit Schonhammer 40mm","0","0","0","-8.52","-8.52"
"12.1.2023","Veröffentlicht","Commingling VAT","1410124333","Halder Aktionspaket"Dreamteam Innenausbau" 2021 mit Schonhammer 40mm","0","0","0","9.42","9.42"
"12.1.2023","Veröffentlicht","Commingling VAT","1410117623","Tajima Schlagschnurgerät Chalk-Rite Dura (Schlagschnur 30 m lang, mit Schnellkurbelsystem, für alle Untergründe, Schlagschnur geflochten) CR401SD","0","0","0","-12.36","-12.36"
"12.1.2023","Veröffentlicht","Commingling VAT","1410117623","Tajima Schlagschnurgerät Chalk-Rite Dura (Schlagschnur 30 m lang, mit Schnellkurbelsystem, für alle Untergründe, Schlagschnur geflochten) CR401SD","0","0","0","11.3","11.3"
"12.1.2023","Veröffentlicht","Commingling VAT","1410117573","Tajima Schlagschnurgerät Chalk-Rite Dura (Schlagschnur 30 m lang, mit Schnellkurbelsystem, für alle Untergründe, Schlagschnur geflochten) CR401SD","0","0","0","-6.18","-6.18"
"12.1.2023","Veröffentlicht","Commingling VAT","1410117613","Tajima Schlagschnurgerät Chalk-Rite Dura (Schlagschnur 30 m lang, mit Schnellkurbelsystem, für alle Untergründe, Schlagschnur geflochten) CR401SD","0","0","0","-6.18","-6.18"
"12.1.2023","Veröffentlicht","Commingling VAT","1410117603","Tajima Schlagschnurgerät Chalk-Rite Dura (Schlagschnur 30 m lang, mit Schnellkurbelsystem, für alle Untergründe, Schlagschnur geflochten) CR401SD","0","0","0","-6.18","-6.18"
"12.1.2023","Veröffentlicht","Commingling VAT","1410117553","Tajima Schlagschnurgerät Chalk-Rite Dura (Schlagschnur 30 m lang, mit Schnellkurbelsystem, für alle Untergründe, Schlagschnur geflochten) CR401SD","0","0","0","-6.18","-6.18"
"12.1.2023","Veröffentlicht","Commingling VAT","1410117573","Tajima Schlagschnurgerät Chalk-Rite Dura (Schlagschnur 30 m lang, mit Schnellkurbelsystem, für alle Untergründe, Schlagschnur geflochten) CR401SD","0","0","0","5.11","5.11"
"12.1.2023","Veröffentlicht","Commingling VAT","1410117603","Tajima Schlagschnurgerät Chalk-Rite Dura (Schlagschnur 30 m lang, mit Schnellkurbelsystem, für alle Untergründe, Schlagschnur geflochten) CR401SD","0","0","0","5.11","5.11"
"12.1.2023","Veröffentlicht","Commingling VAT","1410117613","Tajima Schlagschnurgerät Chalk-Rite Dura (Schlagschnur 30 m lang, mit Schnellkurbelsystem, für alle Untergründe, Schlagschnur geflochten) CR401SD","0","0","0","6.18","6.18"
"12.1.2023","Veröffentlicht","Commingling VAT","1410117553","Tajima Schlagschnurgerät Chalk-Rite Dura (Schlagschnur 30 m lang, mit Schnellkurbelsystem, für alle Untergründe, Schlagschnur geflochten) CR401SD","0","0","0","5.11","5.11"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","302-5011035-1109904","Trockengleitmittel Silbergleit 250 ml","9.96","-0.83","-4.13","2.72","7.72"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","305-2648451-3139562","Wekem WK-8 Sekundenkleberentferner farbl...","10.8","0","-1.93","2.05","10.92"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","306-2786421-4045104","Metabo 4 Hartmetall-Wendemesser (als Ers...","10.56","0","-1.63","2.01","10.94"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","302-1386173-9904312","Tajima Quick Back Cuttermesser 18mm DFC5...","20.01","0","-3.1","3.8","20.71"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","302-2814392-0393146","Nutfräser mit Bohrschneide aus Hartmetal...","27.14","0","-4.2","5.16","28.1"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","028-5697601-2209965","Tajima Kartuschenpresse Convoy Super 26,...","31.5","0","-4.87","5.99","32.62"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","302-8536350-0545114","Stubai Sappel in U-Form mit Stiel 1050mm...","65.4","0","-10.12","12.43","67.71"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","302-3236000-0959547","STUBAI WoodRepair Astfüller für Holzschä...","24.57","0","-3.8","4.67","25.44"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","305-8322888-7107515","Fermit Ofenschwärze 11500 100 ml Tube, S...","13.48","0","-6.6","2.56","9.44"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","306-4131222-4487551","Stubai Aschenschieber 600X120","12.97","0","-2.01","2.47","13.43"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","306-4789409-7993940","Trockengleitmittel Silbergleit 250 ml","9.44","0","-1.35","1.79","9.88"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","303-7398156-8500301","Silbergleit flüssig - Holzgleitmittel mi...","22.64","0","-4.04","4.3","22.9"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","028-6574854-3040306","Leinos 920 Bodenmilch 2,50 l","27.52","0","-4.26","5.23","28.49"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","302-1759237-6182725","KUNZ Taschenhobel, Schlichthobel, 101","25.8","0","-3.99","4.9","26.71"
"12.1.2023","Verzögert","Bezahlung der Bestellung","306-0937973-8713921","Lammfell Hausschuhe braun Größe 41, Lamm...","96.56","0","-15.24","18.34","99.66"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","305-6729616-5855526","Fre-Pro Hang Tag universeller Lufterfris...","20.44","0","-3.16","3.88","21.16"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","302-4284796-1907536","beko TecLine Schließzylinderspray 30 ml ...","9.67","0","-1.5","1.84","10.01"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","305-1699987-1949933","HW Wendeplatten Kantenfräser 45° 29x12mm...","47.87","0","-7.41","9.1","49.56"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","306-3401932-2511559","WAXILIT 22-2411 Gleitmittel Spray 400ml","19.62","0","-3.04","3.73","20.31"
"12.1.2023","Veröffentlicht","Bei Amazon gekaufte Versandetiketten","305-2648451-3139562","Fakturierung","-4.07","0","0","0","-4.07"
"12.1.2023","Veröffentlicht","Bei Amazon gekaufte Versandetiketten","306-2786421-4045104","Fakturierung","-4.07","0","0","0","-4.07"
"12.1.2023","Veröffentlicht","Bei Amazon gekaufte Versandetiketten","302-1386173-9904312","Fakturierung","-4.07","0","0","0","-4.07"
"12.1.2023","Veröffentlicht","Bei Amazon gekaufte Versandetiketten","028-5697601-2209965","Fakturierung","-4.07","0","0","0","-4.07"
"12.1.2023","Veröffentlicht","Bei Amazon gekaufte Versandetiketten","302-2814392-0393146","Fakturierung","-4.07","0","0","0","-4.07"
"12.1.2023","Veröffentlicht","Bei Amazon gekaufte Versandetiketten","302-8536350-0545114","Fakturierung","-4.07","0","0","0","-4.07"
"12.1.2023","Veröffentlicht","Bei Amazon gekaufte Versandetiketten","306-4131222-4487551","Fakturierung","-4.07","0","0","0","-4.07"
"12.1.2023","Veröffentlicht","Bei Amazon gekaufte Versandetiketten","302-3236000-0959547","Fakturierung","-4.07","0","0","0","-4.07"
"12.1.2023","Veröffentlicht","Bei Amazon gekaufte Versandetiketten","306-4789409-7993940","Fakturierung","-4.07","0","0","0","-4.07"
"12.1.2023","Veröffentlicht","Bei Amazon gekaufte Versandetiketten","303-7398156-8500301","Fakturierung","-4.07","0","0","0","-4.07"
"12.1.2023","Veröffentlicht","Bei Amazon gekaufte Versandetiketten","028-6574854-3040306","Fakturierung","-4.07","0","0","0","-4.07"
"12.1.2023","Veröffentlicht","Bei Amazon gekaufte Versandetiketten","302-1759237-6182725","Fakturierung","-4.07","0","0","0","-4.07"
"12.1.2023","Veröffentlicht","Bei Amazon gekaufte Versandetiketten","306-0937973-8713921","Fakturierung","-4.07","0","0","0","-4.07"
"12.1.2023","Veröffentlicht","Commingling VAT","1410058813","Fugenmeister,R-03t,Radien AA83-teilig intransparenter Schachtel","0","0","0","-1.77","-1.77"
"12.1.2023","Veröffentlicht","Commingling VAT","1410058813","Fugenmeister,R-03t,Radien AA83-teilig intransparenter Schachtel","0","0","0","1.96","1.96"
"12.1.2023","Veröffentlicht","Commingling VAT","1410058583","Fugenmeister,R-03t,Radien AA83-teilig intransparenter Schachtel","0","0","0","-1.77","-1.77"
"12.1.2023","Veröffentlicht","Commingling VAT","1410058583","Fugenmeister,R-03t,Radien AA83-teilig intransparenter Schachtel","0","0","0","1.96","1.96"
"12.1.2023","Veröffentlicht","Bei Amazon gekaufte Versandetiketten","305-6729616-5855526","Fakturierung","-4.07","0","0","0","-4.07"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","302-8313324-7430726","Fermitopp N, 310 ml, Kartusche, transpar...","22.71","0","-13.31","4.32","13.72"
"12.1.2023","Veröffentlicht","Bei Amazon gekaufte Versandetiketten","305-1699987-1949933","Fakturierung","-4.07","0","0","0","-4.07"
"12.1.2023","Veröffentlicht","Bei Amazon gekaufte Versandetiketten","302-4284796-1907536","Fakturierung","-4.07","0","0","0","-4.07"
"12.1.2023","Veröffentlicht","Bei Amazon gekaufte Versandetiketten","306-3401932-2511559","Fakturierung","-4.07","0","0","0","-4.07"
"12.1.2023","Veröffentlicht","Commingling VAT","1410054253","Tajima TAJ-DFC560W DORA FIN Cuttermesser mit RAZAR BLACK Klinge, mit Schieber und Finne, 18 mm, DFC560W, Non Concerné","0","0","0","-2.63","-2.63"
"12.1.2023","Veröffentlicht","Commingling VAT","1410054253","Tajima TAJ-DFC560W DORA FIN Cuttermesser mit RAZAR BLACK Klinge, mit Schieber und Finne, 18 mm, DFC560W, Non Concerné","0","0","0","2.17","2.17"
"12.1.2023","Veröffentlicht","Commingling VAT","1410053563","Tajima TAJ-DFC560W DORA FIN Cuttermesser mit RAZAR BLACK Klinge, mit Schieber und Finne, 18 mm, DFC560W, Non Concerné","0","0","0","-2.63","-2.63"
"12.1.2023","Veröffentlicht","Commingling VAT","1410053563","Tajima TAJ-DFC560W DORA FIN Cuttermesser mit RAZAR BLACK Klinge, mit Schieber und Finne, 18 mm, DFC560W, Non Concerné","0","0","0","2.17","2.17"
"12.1.2023","Veröffentlicht","Commingling VAT","1410050633","Tajima Schlagschnurgerät Chalk-Rite Dura (Schlagschnur 30 m lang, mit Schnellkurbelsystem, für alle Untergründe, Schlagschnur geflochten) CR401SD","0","0","0","-5.12","-5.12"
"12.1.2023","Veröffentlicht","Commingling VAT","1410050633","Tajima Schlagschnurgerät Chalk-Rite Dura (Schlagschnur 30 m lang, mit Schnellkurbelsystem, für alle Untergründe, Schlagschnur geflochten) CR401SD","0","0","0","5.13","5.13"
"12.1.2023","Veröffentlicht","Commingling VAT","1410050003","Tajima Schlagschnurgerät Chalk-Rite Dura (Schlagschnur 30 m lang, mit Schnellkurbelsystem, für alle Untergründe, Schlagschnur geflochten) CR401SD","0","0","0","-5.12","-5.12"
"12.1.2023","Veröffentlicht","Commingling VAT","1410050003","Tajima Schlagschnurgerät Chalk-Rite Dura (Schlagschnur 30 m lang, mit Schnellkurbelsystem, für alle Untergründe, Schlagschnur geflochten) CR401SD","0","0","0","5.13","5.13"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","303-5372768-2672351","Fermit Ofenschwärze 11500 100 ml Tube, S...","6.74","0","-3.31","1.35","4.78"
"12.1.2023","Veröffentlicht","Commingling VAT","1410048653","Wekem WS-600-030 HTC-Tube 30 Gramm","0","0","0","-1.55","-1.55"
"12.1.2023","Veröffentlicht","Andere","S02-5728503-8107163","Versand durch Amazon Erstattung für Lagerbestand","0","0","0","57.39","57.39"
"12.1.2023","Veröffentlicht","Commingling VAT","1410048423","Wekem WS-600-030 HTC-Tube 30 Gramm","0","0","0","-1.55","-1.55"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","304-4970019-1755551","Tajima H5P70MY Bandmaß 7 M x 25 mm","14.54","0","-4.96","2.76","12.34"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","302-5433638-9049150","SONAX Aktionsset KratzerEntferner Lack (...","10.46","0","-4.96","1.99","7.49"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","305-9852829-4657960","Dichtungseinroller von Schwaigertools","14.79","0","-5","2.81","12.6"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","305-7700024-3705900","Fermit GmbH - Pasta graphit Nivo Zinn (5...","13.59","0","-5.8","2.58","10.37"
"12.1.2023","Veröffentlicht","Erstattung","306-6741560-2670712","Kirschen 6160105 Schreinerklüpfel / Holz...","-30.93","0","3.83","-5.88","-32.98"
"12.1.2023","Veröffentlicht","Commingling VAT","1410030603","Fermit GmbH - Pasta graphit Nivo Zinn (500 g)","0","0","0","-3.58","-3.58"
"12.1.2023","Veröffentlicht","Commingling VAT","1410029073","Tajima LCB50RB-50H Razar Black Lames de rechange 18 mm, Noir, Set de 50 Pièces","0","0","0","-2.73","-2.73"
"12.1.2023","Veröffentlicht","Commingling VAT","1410029073","Tajima LCB50RB-50H Razar Black Lames de rechange 18 mm, Noir, Set de 50 Pièces","0","0","0","3.02","3.02"
"12.1.2023","Veröffentlicht","Commingling VAT","1410027423","Tajima LCB50RB-50H Razar Black Lames de rechange 18 mm, Noir, Set de 50 Pièces","0","0","0","-2.73","-2.73"
"12.1.2023","Veröffentlicht","Commingling VAT","1410027423","Tajima LCB50RB-50H Razar Black Lames de rechange 18 mm, Noir, Set de 50 Pièces","0","0","0","2.73","2.73"
"12.1.2023","Veröffentlicht","Commingling VAT","1410017003","Fugenmeister,R-03t,Radien AA83-teilig intransparenter Schachtel","0","0","0","-1.96","-1.96"
"12.1.2023","Veröffentlicht","Commingling VAT","1410017003","Fugenmeister,R-03t,Radien AA83-teilig intransparenter Schachtel","0","0","0","1.77","1.77"
"12.1.2023","Veröffentlicht","Commingling VAT","1410017023","Fugenmeister,R-03t,Radien AA83-teilig intransparenter Schachtel","0","0","0","2.14","2.14"
